canonical_feature,vpn_equivalent,mean_abs_shap
bidirectional_stddev_ps,std_outer_pkt_size,0.9973516
src2dst_bytes,outer_bytes_out,0.8316412
bidirectional_mean_ps,mean_outer_pkt_size,0.65986043
dst2src_bytes,outer_bytes_in,0.60513043
bidirectional_bytes,outer_bytes,0.38318962
bidirectional_min_piat_ms,outer_min_piat_ms,0.35654545
bidirectional_packets,matched_packets,0.34761164
bidirectional_duration_ms,outer_capture_duration_ms,0.26835784
dst2src_mean_piat_ms,outer_mean_piat_ms_in,0.26229617
src2dst_mean_piat_ms,outer_mean_piat_ms_out,0.21678357
src2dst_max_piat_ms,outer_max_piat_ms_out,0.21223944
dst2src_max_piat_ms,outer_max_piat_ms_in,0.20859213
bidirectional_last_seen_ms,outer_last_matched_time_ms,0.20206091
bidirectional_max_piat_ms,outer_max_piat_ms,0.19706489
bidirectional_first_seen_ms,outer_first_matched_time_ms,0.195843
bidirectional_byte_rate,outer_byte_rate,0.17951322
src2dst_min_piat_ms,outer_min_piat_ms_out,0.15992777
src2dst_stddev_piat_ms,outer_stddev_piat_ms_out,0.15205343
dst2src_stddev_piat_ms,outer_stddev_piat_ms_in,0.14648327
bidirectional_mean_piat_ms,outer_mean_piat_ms,0.12503
bidirectional_stddev_piat_ms,outer_stddev_piat_ms,0.11544228
bidirectional_packet_rate,outer_packet_rate,0.10508292
dst2src_min_piat_ms,outer_min_piat_ms_in,0.096740946
